ID,east,north,longitude,latitude
118031,145000,51000,-8.79639681184625,51.7092778974768
118032,145000,52000,-8.79655459410344,51.7182645129217
118033,145000,53000,-8.79671245848082,51.7272511141915
118034,145000,54000,-8.79687040503495,51.7362377012869
118035,145000,55000,-8.79702843382246,51.7452242742089
118036,145000,56000,-8.79718654489999,51.7542108329583
118037,145000,57000,-8.7973447383243,51.7631973775358
118038,145000,58000,-8.79750301415214,51.7721839079425
118039,145000,59000,-8.79766137244034,51.7811704241791
118040,145000,60000,-8.79781981324581,51.7901569262464
118041,145000,61000,-8.79797833662545,51.7991434141455
118042,145000,62000,-8.79813694263628,51.808129887877
118043,145000,63000,-8.79829563133534,51.8171163474418
118044,145000,64000,-8.79845440277972,51.8261027928409
118045,145000,65000,-8.79861325702658,51.835089224075
118046,145000,66000,-8.79877219413313,51.8440756411451
118047,145000,67000,-8.79893121415662,51.8530620440519
118048,145000,68000,-8.79909031715437,51.8620484327964
118049,145000,69000,-8.79924950318376,51.8710348073794
118050,145000,70000,-8.7994087723022,51.8800211678018
118051,145000,71000,-8.79956812456718,51.8890075140644
118052,145000,72000,-8.79972756003623,51.8979938461681
118053,145000,73000,-8.79988707876693,51.9069801641139
118054,145000,74000,-8.80004668081694,51.9159664679024
118055,145000,75000,-8.80020636624394,51.9249527575347
118056,145000,76000,-8.80036613510569,51.9339390330116
118057,145000,77000,-8.80052598746,51.9429252943339
118058,145000,78000,-8.80068592336472,51.9519115415026
118059,145000,79000,-8.80084594287777,51.9608977745184
118060,145000,80000,-8.80100604605713,51.9698839933824
118061,145000,81000,-8.80116623296082,51.9788701980953
118062,145000,82000,-8.80132650364692,51.9878563886581
118063,145000,83000,-8.80148685817357,51.9968425650716
118064,145000,84000,-8.80164729659896,52.0058287273366
118065,145000,85000,-8.80180781898134,52.0148148754542
118066,145000,86000,-8.80196842537902,52.0238010094251
118067,145000,87000,-8.80212911585034,52.0327871292503
118068,145000,88000,-8.80228989045373,52.0417732349305
118069,145000,89000,-8.80245074924765,52.0507593264669
118070,145000,90000,-8.80261169229062,52.0597454038601
118071,145000,91000,-8.80277271964124,52.0687314671111
118072,145000,92000,-8.80293383135813,52.0777175162207
118073,145000,93000,-8.80309502749999,52.08670355119
118074,145000,94000,-8.80325630812557,52.0956895720197
118075,145000,95000,-8.80341767329366,52.1046755787108
118076,145000,96000,-8.80357912306314,52.1136615712641
118077,145000,97000,-8.80374065749291,52.1226475496805
118078,145000,98000,-8.80390227664195,52.131633513961
118079,145000,99000,-8.80406398056929,52.1406194641064
119080,146000,100000,-8.78961823192968,52.1497040475832
119081,146000,101000,-8.7897771647216,52.158690001208
119082,146000,102000,-8.7899361809265,52.1676759407132
119083,146000,103000,-8.79009528060256,52.1766618660996
119084,146000,104000,-8.79025446380802,52.1856477773683
119085,146000,105000,-8.79041373060117,52.19463367452
119086,146000,106000,-8.79057308104036,52.2036195575558
119087,146000,107000,-8.79073251518398,52.2126054264765
