hectad,country,east,north,longitude,latitude
SO91,EN,390000,210000,-2.14638156078461,51.7885652218087
SO92,EN,390000,220000,-2.14667388041159,51.8784744244481
SO93,EN,390000,230000,-2.14696772994806,51.9683822428747
SO94,EN,390000,240000,-2.14726312003146,52.0582886782026
SO95,EN,390000,250000,-2.14756006140077,52.1481937315595
SO96,EN,390000,260000,-2.14785856489772,52.2380974040864
SO97,EN,390000,270000,-2.14815864146804,52.3279996969378
SO98,EN,390000,280000,-2.14846030216265,52.4179006112815
SO99,EN,390000,290000,-2.14876355813895,52.5078001482988
SP00,EN,400000,200000,-2.00139926752659,51.69874577573
SP01,EN,400000,210000,-2.00140257402079,51.7886566563305
SP02,EN,400000,220000,-2.00140589759423,51.8785661527791
SP03,EN,400000,230000,-2.00140923836554,51.9684742661849
SP04,EN,400000,240000,-2.00141259645447,52.0583809976705
SP05,EN,400000,250000,-2.00141597198195,52.1482863483722
SP06,EN,400000,260000,-2.00141936507003,52.2381903194396
SP07,EN,400000,270000,-2.00142277584195,52.328092912036
SP08,EN,400000,280000,-2.00142620442212,52.4179941273382
SP09,EN,400000,290000,-2.00142965093616,52.5078939665362
SP10,EN,410000,200000,-1.85670775757249,51.6986587326199
SP11,EN,410000,210000,-1.8564235701888,51.7885693334919
SP12,EN,410000,220000,-1.85613789759005,51.8784785491021
SP13,EN,410000,230000,-1.85585072947641,51.9683863805516
SP14,EN,410000,240000,-1.85556205544997,52.058292828955
SP15,EN,410000,250000,-1.85527186501353,52.1481978954403
SP16,EN,410000,260000,-1.85498014756949,52.2381015811488
SP17,EN,410000,270000,-1.85468689241857,52.3280038872355
SP18,EN,410000,280000,-1.85439208875867,52.4179048148686
SP19,EN,410000,290000,-1.85409572568361,52.5078043652297
SP20,EN,420000,200000,-1.71201772262563,51.6983935066108
SP21,EN,420000,210000,-1.71144605156671,51.7883032553912
SP22,EN,420000,220000,-1.71087139309538,51.8782116155289
SP23,EN,420000,230000,-1.7102937264945,51.9681185881003
SP24,EN,420000,240000,-1.70971303084965,52.0580241741953
SP25,EN,420000,250000,-1.70912928504671,52.1479283749168
SP26,EN,420000,260000,-1.70854246776958,52.237831191381
SP27,EN,420000,270000,-1.70795255749771,52.3277326247172
SP28,EN,420000,280000,-1.7073595325037,52.4176326760679
SP29,EN,420000,290000,-1.70676337085081,52.5075313465888
SP30,EN,430000,200000,-1.56733065454809,51.6979501040547
SP31,EN,430000,210000,-1.56647152033564,51.7878584284212
SP32,EN,430000,220000,-1.56560789670844,51.8777653584931
SP33,EN,430000,230000,-1.56473975253436,51.9676708953059
SP34,EN,430000,240000,-1.56386705638478,52.0575750399079
SP35,EN,430000,250000,-1.56298977653105,52.1474777933604
SP36,EN,430000,260000,-1.56210788094096,52.2373791567371
SP37,EN,430000,270000,-1.56122133727511,52.3272791311248
SP38,EN,430000,280000,-1.56033011288328,52.417177717623
SP39,EN,430000,290000,-1.55943417480069,52.5070749173439
SP40,EN,440000,200000,-1.42264804500918,51.6973285355702
SP41,EN,440000,210000,-1.42150147848168,51.787234863268
SP42,EN,440000,220000,-1.42034892083015,51.8771397887494
SP43,EN,440000,230000,-1.4191903305109,51.9670433129921
SP44,EN,440000,240000,-1.41802566558464,52.0569454369863
SP45,EN,440000,250000,-1.41685488371171,52.1468461617346
SP46,EN,440000,260000,-1.41567794214742,52.2367454882516
SP47,EN,440000,270000,-1.41449479773719,52.3266434175644
SP48,EN,440000,280000,-1.41330540691167,52.4165399507121
SP49,EN,440000,290000,-1.41210972568181,52.506435088746
SP50,EN,450000,200000,-1.27797138538858,51.6965288160411
SP51,EN,450000,210000,-1.27653742769791,51.7864325749109
SP52,EN,450000,220000,-1.27509597756494,51.8763349213728
SP53,EN,450000,230000,-1.27364698303905,51.9662358563306
SP54,EN,450000,240000,-1.27219039167492,52.0561353806997
SP55,EN,450000,250000,-1.27072615052667,52.1460334954072
SP56,EN,450000,260000,-1.26925420614194,52.2359302013917
SP57,EN,450000,270000,-1.26777450455582,52.3258254996034
SP58,EN,450000,280000,-1.26628699128482,52.4157193910037
SP59,EN,450000,290000,-1.26479161132062,52.5056118765658
SP60,EN,460000,200000,-1.13330216667955,51.6955509646159
SP61,EN,460000,210000,-1.1315808692864,51.7854515826205
SP62,EN,460000,220000,-1.12985057862161,51.8753507757574
SP63,EN,460000,230000,-1.1281112323334,51.96524854484
SP64,EN,460000,240000,-1.12636276747629,52.0551448906922
SP65,EN,460000,250000,-1.12460512050409,52.1450398141491
SP66,EN,460000,260000,-1.12283822726276,52.2349333160561
SP67,EN,460000,270000,-1.12106202298321,52.3248253972693
SP68,EN,460000,280000,-1.11927644227397,52.4147160586555
SP69,EN,460000,290000,-1.11748141911375,52.504605301092
